工作,地点,公司,人数,工资,年限,学历,技能,福利
前端,江宁区,软通动力,10000人以上,12-15K,1-3年,本科,['Vue'],"['免费班车', '加班补助', '定期体检', '通讯补贴', '补充医疗保险', '零食下午茶', '五险一金', '节日福利', '团建活动', '带薪年假', '交通补助', '生日福利']"
前端,建邺区,江苏红网,100-499人,9-13K,1-3年,本科,"['HTML5', 'CSS', 'Node.js', '计算机/软件工程相关专业', '前端开发经验', '金融银行经验', '数据管理平台']","['五险一金', '节日福利', '加班补助', '带薪年假', '法定节假日三薪', '节假日加班费', '团建聚餐', '员工旅游']"
前端,建邺区,嘉睿时代,20-99人,13-17K,5-10年,本科,"['Vue', 'ECharts', 'Webpack', '数据可视化']",[]
前端,秦淮区,菲克斯能源科技,20-99人,12-16K,3-5年,本科,"['HTML5', 'React']","['年终奖', '零食下午茶', '加班补助', '节日福利', '五险一金', '全勤奖', '带薪年假']"
前端,雨花台区,中软国际,10000人以上,10-15K,3-5年,本科,"['HTML5', '计算机/软件工程相关专业', '前端开发经验', '不接受居家办公']","['五险一金', '节日福利', '餐补', '带薪年假', '零食下午茶', '定期体检', '加班补助', '免费班车', '员工旅游', '年终奖']"
前端,雨花台区,拓维云创,1000-9999人,10-15K,1-3年,本科,"['JavaScript', 'Vue', '前端开发经验', 'CSs', 'ES6']","['五险一金', '员工旅游', '零食下午茶', '团建聚餐', '带薪年假', '定期体检', '节日福利']"
前端,鼓楼区,信永中和税务,500-999人,12-24K,3-5年,本科,"['React', 'Vue', 'ECharts', '前端开发经验', '报表开发经验', '组件开发']",[]
前端,江宁区,江苏智臻,100-499人,9-14K·13薪,3-5年,本科,"['Vue', '电力']","['五险一金', '节日福利', '带薪年假', '有无线网', '生日福利', '高温补贴', '年终奖', '定期体检', '加班补助', '团建聚餐']"
前端,浦口区,诚迈电力信息,1000-9999人,12-17K,3-5年,本科,"['Vue', 'HTML5', '不接受居家办公']","['餐补', '定期体检', '带薪年假', '通讯补贴', '节日福利', '加班补助', '五险一金']"
前端开发,雨花台区,三星电子南京研究所,500-999人,9-13K,在校/应届,本科,"['JavaScript', 'HTML5', 'CSS', '计算机/软件工程相关专业', '不接受居家办公']","['年终奖', '补充医疗保险', '餐补', '加班补助', '带薪年假', '五险一金', '定期体检', '员工旅游', '节日福利']"
前端研发,,聚云智慧,0-20人,6-10K,3-5年,大专,"['前端开发', 'CSS', 'WEB开发', 'JavaScript', 'Vue', '前端开发经验', 'Angular', 'SQL']","['年终奖', '股票期权', '带薪年假', '补充医疗保险']"
web前端,江宁区,南京联迪信息,500-999人,11-15K,3-5年,本科,"['DIV+CSS', 'AngularJS', 'vue.js']","['五险一金', '加班补助', '带薪年假']"
前端开发,栖霞区,海上花,0-20人,5-10K,5-10年,本科,"['DIV+CSS', 'ajax', 'jquery']",[]
前端开发,浦口区,科旭网络,100-499人,12-20K,3-5年,本科,"['Vue', 'HTML5', 'CSS']","['五险一金', '节日福利']"
web前端,雨花台区,超级星图,20-99人,6-11K,1年以内,本科,"['Vue', '前端开发经验']",[]
web前端,江宁区,拓恒技术,100-499人,15-18K,1-3年,本科,"['HTML5', 'CSS']","['五险一金', '定期体检', '节日福利', '年终奖', '股票期权', '带薪年假', '免费班车', '包吃', '餐补', '全勤奖']"
前端开发,江宁区,法本,10000人以上,15-16K,5-10年,本科,"['Vue', 'antd', '低代码']","['五险一金', '零食下午茶', '员工旅游', '带薪年假', '节日福利', '定期体检', '加班补助', '企业文化']"
前端开发,,鑫合易家,100-499人,14-20K,5-10年,本科,['Vue'],"['年终奖', '免费班车', '节日福利', '交通补助', '餐补', '通讯补贴', '加班补助', '定期体检', '补充医疗保险', '五险一金', '带薪年假']"
wed前端,雨花台区,嬴彻科技,500-999人,15-30K·15薪,经验不限,本科,['CSS'],"['五险一金', '股票期权', '定期体检', '年终奖', '通讯补贴', '餐补', '补充医疗保险', '带薪年假']"
开发前端,雨花台区,江苏拓邮,0-20人,8-12K,3-5年,本科,"['HTML', 'CSS', '前端开发']",['五险一金']
前端开发,江宁区,如昼科技,20-99人,6-10K,1-3年,本科,"['React', 'Vue', 'Node.js', '计算机/软件工程相关专业']","['五险一金', '生日福利', '零食下午茶', '员工旅游', '带薪年假', '年终奖', '团建聚餐', '节日福利', '绩效奖金']"
web前端,浦口区,尊创科技,100-499人,9-12K,1-3年,大专,"['前端开发', 'Vue.js', 'Web端', 'Threejs', 'Html5前端']",['五险一金']
前端开发,雨花台区,诚迈科技,1000-9999人,12-17K,3-5年,本科,"['HTML5', 'React', 'Node.js', '计算机/软件工程相关专业', '不接受居家办公']","['交通补助', '节日福利', '法定节假日三薪', '五险一金', '定期体检', '餐补', '加班补助', '免费班车', '带薪年假', '员工旅游', '团建聚餐', '通讯补贴']"
前端开发,江宁区,江苏咨立,20-99人,9-14K,3-5年,本科,"['Vue', 'JavaScript', 'UI设计']","['通讯补贴', '交通补助', '五险一金', '带薪年假', '餐补', '定期体检', '员工旅游', '年终奖']"
前端开发,浦口区,前海明粤,100-499人,13-19K,3-5年,本科,"['HTML5', 'CSS', 'Vue', '前端开发经验']","['五险一金', '定期体检', '年终奖', '带薪年假', '节日福利', '零食下午茶']"
前端开发,江宁区,择仕信息,100-499人,15-18K,5-10年,本科,"['组态编辑器工具', '低代码平台']","['定期体检', '补充医疗保险', '五险一金']"
前端开发,雨花台区,天千志达,0-20人,5-7K,1-3年,本科,"['ECharts', 'JavaScript', 'CSS', '计算机/软件工程相关专业', '前端开发经验', '技术博客/开源项目有所贡献']","['五险一金', '法定节假日三薪', '保底工资', '全勤奖', '住房补贴', '零食下午茶', '通讯补贴', '员工旅游', '带薪年假', '有无线网', '节日福利', '交通补助', '餐补', '年终奖', '底薪加提成']"
前端开发,雨花台区,湖南拓维信创系统集成,1000-9999人,9-14K,1-3年,本科,"['前端开发经验', '国内院校优先', '不接受居家办公', 'Vue', 'HTML5', 'JS']","['交通补助', '带薪年假', '零食下午茶', '团建聚餐', '加班补助', '节日福利', '员工旅游', '绩效奖金', '定期体检', '年终奖', '五险一金', '生日福利']"
web前端,江宁区,畅淼,20-99人,4-9K·13薪,经验不限,本科,"['前端开发', 'HTML', 'JavaScript', 'HTML5', 'Vue', 'Vue.js', '移动端']","['餐补', '交通补助', '节日福利', '团建聚餐', '股票期权', '员工旅游', '带薪年假', '年终奖', '五险一金', '定期体检', '员工活动中心']"
前端开发,江宁区,南京君融科技有限公司,20-99人,10-15K,3-5年,本科,"['Vue', 'HTML5', 'CSS']","['团建聚餐', '年终奖', '五险一金', '包吃', '节日福利', '绩效奖金']"
